0,0
0.01,0.4471
0.02,0.63214
0.03,0.77402
0.04,0.89353
0.05,0.99875
0.06,1.0938
0.07,1.1811
0.08,1.2624
0.09,1.3386
0.1,1.4107
0.11,1.4792
0.12,1.5445
0.13,1.6072
0.14,1.6675
0.15,1.7255
0.16,1.7817
0.17,1.8361
0.18,1.8888
0.19,1.9401
0.2,1.99
0.21,2.0386
0.22,2.086
0.23,2.1324
0.24,2.1777
0.25,2.222
0.26,2.2655
0.27,2.3081
0.28,2.3498
0.29,2.3908
0.3,2.431
0.31,2.4706
0.32,2.5095
0.33,2.5478
0.34,2.5854
0.35,2.6225
0.36,2.659
0.37,2.695
0.38,2.7305
0.39,2.7655
0.4,2.8
0.41,2.8341
0.42,2.8677
0.43,2.9009
0.44,2.9337
0.45,2.9661
0.46,2.9981
0.47,3.0297
0.48,3.061
0.49,3.0919
0.5,3.1225
0.51,3.1528
0.52,3.1827
0.53,3.2123
0.54,3.2417
0.55,3.2707
0.56,3.2995
0.57,3.3279
0.58,3.3561
0.59,3.3841
0.6,3.4117
0.61,3.4392
0.62,3.4664
0.63,3.4933
0.64,3.52
0.65,3.5465
0.66,3.5727
0.67,3.5988
0.68,3.6246
0.69,3.6502
0.7,3.6756
0.71,3.7008
0.72,3.7258
0.73,3.7506
0.74,3.7752
0.75,3.7997
0.76,3.8239
0.77,3.848
0.78,3.8719
0.79,3.8956
0.8,3.9192
0.81,3.9426
0.82,3.9658
0.83,3.9889
0.84,4.0118
0.85,4.0345
0.86,4.0571
0.87,4.0796
0.88,4.1019
0.89,4.1241
0.9,4.1461
0.91,4.168
0.92,4.1897
0.93,4.2113
0.94,4.2328
0.95,4.2541
0.96,4.2753
0.97,4.2964
0.98,4.3174
0.99,4.3382
1,4.3589
1.01,4.3795
1.02,4.4
1.03,4.4203
1.04,4.4405
1.05,4.4607
1.06,4.4807
1.07,4.5006
1.08,4.5204
1.09,4.54
1.1,4.5596
1.11,4.5791
1.12,4.5984
1.13,4.6177
1.14,4.6369
1.15,4.6559
1.16,4.6749
1.17,4.6937
1.18,4.7125
1.19,4.7312
1.2,4.7497
1.21,4.7682
1.22,4.7866
1.23,4.8049
1.24,4.8231
1.25,4.8412
1.26,4.8593
1.27,4.8772
1.28,4.8951
1.29,4.9128
1.3,4.9305
1.31,4.9481
1.32,4.9656
1.33,4.9831
1.34,5.0004
1.35,5.0177
1.36,5.0349
1.37,5.052
1.38,5.0691
1.39,5.086
1.4,5.1029
1.41,5.1198
1.42,5.1365
1.43,5.1532
1.44,5.1698
1.45,5.1863
1.46,5.2027
1.47,5.2191
1.48,5.2354
1.49,5.2517
1.5,5.2678
1.51,5.2839
1.52,5.3
1.53,5.3159
1.54,5.3318
1.55,5.3477
1.56,5.3634
1.57,5.3791
1.58,5.3948
1.59,5.4104
1.6,5.4259
1.61,5.4413
1.62,5.4567
1.63,5.472
1.64,5.4873
1.65,5.5025
1.66,5.5176
1.67,5.5327
1.68,5.5478
1.69,5.5627
1.7,5.5776
1.71,5.5925
1.72,5.6073
1.73,5.622
1.74,5.6367
1.75,5.6513
1.76,5.6659
1.77,5.6804
1.78,5.6949
1.79,5.7093
1.8,5.7236
1.81,5.7379
1.82,5.7522
1.83,5.7664
1.84,5.7805
1.85,5.7946
1.86,5.8086
1.87,5.8226
1.88,5.8366
1.89,5.8505
1.9,5.8643
1.91,5.8781
1.92,5.8918
1.93,5.9055
1.94,5.9192
1.95,5.9327
1.96,5.9463
1.97,5.9598
1.98,5.9732
1.99,5.9866
2,6
2.01,6.0133
2.02,6.0266
2.03,6.0398
2.04,6.053
2.05,6.0661
2.06,6.0792
2.07,6.0922
2.08,6.1052
2.09,6.1182
2.1,6.1311
2.11,6.1439
2.12,6.1568
2.13,6.1695
2.14,6.1823
2.15,6.195
2.16,6.2076
2.17,6.2202
2.18,6.2328
2.19,6.2453
2.2,6.2578
2.21,6.2702
2.22,6.2826
2.23,6.295
2.24,6.3073
2.25,6.3196
2.26,6.3319
2.27,6.3441
2.28,6.3562
2.29,6.3684
2.3,6.3804
2.31,6.3925
2.32,6.4045
2.33,6.4165
2.34,6.4284
2.35,6.4403
2.36,6.4522
2.37,6.464
2.38,6.4758
2.39,6.4875
2.4,6.4992
2.41,6.5109
2.42,6.5225
2.43,6.5341
2.44,6.5457
2.45,6.5572
2.46,6.5687
2.47,6.5802
2.48,6.5916
2.49,6.603
2.5,6.6144
2.51,6.6257
2.52,6.637
2.53,6.6482
2.54,6.6595
2.55,6.6706
2.56,6.6818
2.57,6.6929
2.58,6.704
2.59,6.7151
2.6,6.7261
2.61,6.7371
2.62,6.748
2.63,6.7589
2.64,6.7698
2.65,6.7807
2.66,6.7915
2.67,6.8023
2.68,6.813
2.69,6.8238
2.7,6.8345
2.71,6.8451
2.72,6.8558
2.73,6.8664
2.74,6.8769
2.75,6.8875
2.76,6.898
2.77,6.9085
2.78,6.9189
2.79,6.9294
2.8,6.9397
2.81,6.9501
2.82,6.9604
2.83,6.9707
2.84,6.981
2.85,6.9912
2.86,7.0015
2.87,7.0116
2.88,7.0218
2.89,7.0319
2.9,7.042
2.91,7.0521
2.92,7.0621
2.93,7.0721
2.94,7.0821
2.95,7.0921
2.96,7.102
2.97,7.1119
2.98,7.1218
2.99,7.1316
3,7.1414
3.01,7.1512
3.02,7.161
3.03,7.1707
3.04,7.1804
3.05,7.1901
3.06,7.1997
3.07,7.2094
3.08,7.219
3.09,7.2285
3.1,7.2381
3.11,7.2476
3.12,7.2571
3.13,7.2666
3.14,7.276
3.15,7.2854
