0,0.0279
0.002,0.02791
0.004,0.02788
0.006,0.027814
0.008,0.027716
0.01,0.027587
0.012,0.027433
0.014,0.027255
0.016,0.027056
0.018,0.02684
0.02,0.02661
0.022,0.026366
0.024,0.026113
0.026,0.025853
0.028,0.025588
0.03,0.025319
0.032,0.02505
0.034,0.024781
0.036,0.024516
0.038,0.024255
0.04,0.024001
0.042,0.023755
0.044,0.023518
0.046,0.023293
0.048,0.023079
0.05,0.022879
0.052,0.022694
0.054,0.022525
0.056,0.022372
0.058,0.022237
0.06,0.02212
0.062,0.022022
0.064,0.021945
0.066,0.021888
0.068,0.021851
0.07,0.021837
0.072,0.021844
0.074,0.021873
0.076,0.021925
0.078,0.021999
0.08,0.022097
0.082,0.022217
0.084,0.022359
0.086,0.022525
0.088,0.022713
0.09,0.022924
0.092,0.023157
0.094,0.023412
0.096,0.023688
0.098,0.023986
0.1,0.024305
0.102,0.024645
0.104,0.025004
0.106,0.025383
0.108,0.02578
0.11,0.026196
0.112,0.026629
0.114,0.027079
0.116,0.027545
0.118,0.028026
0.12,0.028522
0.122,0.029031
0.124,0.029554
0.126,0.030088
0.128,0.030633
0.13,0.031188
0.132,0.031752
0.134,0.032325
0.136,0.032904
0.138,0.03349
0.14,0.034081
0.142,0.034676
0.144,0.035274
0.146,0.035873
0.148,0.036474
0.15,0.037074
0.152,0.037673
0.154,0.03827
0.156,0.038863
0.158,0.039452
0.16,0.040034
0.162,0.04061
0.164,0.041178
0.166,0.041737
0.168,0.042286
0.17,0.042824
0.172,0.04335
0.174,0.043862
0.176,0.04436
0.178,0.044843
0.18,0.045309
0.182,0.045758
0.184,0.046189
0.186,0.0466
0.188,0.046992
0.19,0.047362
0.192,0.04771
0.194,0.048035
0.196,0.048337
0.198,0.048614
0.2,0.048866
0.202,0.049091
0.204,0.049291
0.206,0.049463
0.208,0.049606
0.21,0.049722
0.212,0.049808
0.214,0.049865
0.216,0.049892
0.218,0.049888
0.22,0.049854
0.222,0.049788
0.224,0.049691
0.226,0.049562
0.228,0.049402
0.23,0.04921
0.232,0.048986
0.234,0.04873
0.236,0.048443
0.238,0.048123
0.24,0.047773
0.242,0.047391
0.244,0.046978
0.246,0.046535
0.248,0.046062
0.25,0.045559
0.252,0.045028
0.254,0.044468
